Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 20:48:00  13/08/2019,5.33,65.28,63.69,1,63.41,56,24.28,-3.06,-28.44,2,66,66,31.67,3.22,80.06,-29.00,33.71,31,11.56,13.28,40.22,56,21.00,9,0.00,1,59.67,61.22,62.89,1,65.00,24.22,32.50,23.11,4,0,0,3837,3836,13.79,98852,0,50011,26570,0,0,-4.00,26,3836,1,1,0,0,0,34.84,1.78,2.39,65.00,0,50,-4.00,29,5.56,2.39,64.94,64.01,-3.11,1,35.52,30.57,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.14,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,20.11,10.00,34.93,0,21.72,1.61,0,10.00,22.00,0,20.39,0,34.83,1.50,20.00,0,1,0.00,18.22,18.61,10.00,20.28,35.50,1.72,6.90,13.22,12,14.61,0.50,0.10,12,11.78,2.28,54.10,17.00,36.10,1,0.00,20.00,2,5.00,30.20,19.80,-5.50,9.50,4.90,18.00,232.60,234.30,235.00,42.30,22.00,23.90
 20:50:00  13/08/2019,5.33,65.28,63.62,1,63.57,55,23.50,-3.06,-28.17,2,68,66,30.50,2.28,80.44,-29.00,33.71,31,11.00,11.94,43.61,55,21.00,9,0.00,1,59.22,60.94,62.89,1,65.00,23.56,30.20,23.11,4,0,0,3837,3836,13.84,98852,0,50011,26570,0,0,-4.00,20,3836,1,1,0,0,0,34.22,1.00,2.39,65.00,0,50,-4.00,29,5.11,1.89,64.94,64.15,-3.11,1,35.52,30.35,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.14,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,20.11,10.00,34.33,0,21.28,0.89,0,10.00,21.61,0,20.72,0,34.24,0.78,20.00,0,1,0.00,18.22,19.39,14.50,20.61,34.90,1.11,6.90,13.22,12,12.50,3.28,1.60,12,14.39,1.72,52.10,14.28,35.50,1,0.00,20.00,2,5.00,30.20,19.80,-5.50,9.50,4.90,18.00,232.60,234.30,235.00,42.30,22.00,23.90
 20:52:00  13/08/2019,5.33,66.28,63.54,1,61.51,53,23.00,-3.50,-28.17,2,72,66,29.56,1.61,79.39,-29.00,33.71,11,9.94,11.39,36.22,53,21.00,9,1.10,1,58.89,60.94,63.17,1,65.00,23.00,22.90,23.11,4,0,0,3837,3836,14.03,98852,0,50011,26570,0,0,-4.00,14,3836,1,0,0,0,0,35.11,1.44,2.39,65.00,0,50,-4.00,29,5.94,2.44,66.00,61.54,-3.50,1,35.52,30.18,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.14,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.22,10.00,35.32,0,21.28,2.00,0,10.00,21.61,0,19.39,0,35.32,1.89,20.00,0,1,0.00,18.22,19.39,15.70,21.72,36.00,2.22,6.90,13.22,12,14.11,7.61,3.80,12,18.11,2.39,41.50,16.72,36.20,1,0.00,20.00,2,4.50,30.20,17.70,-5.50,8.20,4.90,20.70,232.60,234.80,235.00,36.50,22.80,21.10
 20:54:00  13/08/2019,5.33,66.28,63.54,1,61.51,53,23.00,-3.50,-28.17,2,72,66,29.56,1.61,79.39,-29.00,33.71,11,9.94,11.39,36.22,53,21.00,9,1.10,1,58.89,60.94,63.17,1,65.00,23.00,22.90,23.11,4,0,0,3837,3836,14.03,98852,0,50011,26570,0,0,-4.00,14,3836,1,0,0,0,0,35.11,1.44,2.39,65.00,0,50,-4.00,29,5.94,2.44,66.00,61.54,-3.50,1,35.52,30.18,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.14,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.22,10.00,35.32,0,21.28,2.00,0,10.00,21.61,0,19.39,0,35.32,1.89,20.00,0,1,0.00,18.22,19.39,15.70,21.72,36.00,2.22,6.90,13.22,12,14.11,7.61,3.80,12,18.11,2.39,41.50,16.72,36.20,1,0.00,20.00,2,4.50,30.20,17.70,-5.50,8.20,4.90,20.70,232.60,234.80,235.00,36.50,22.80,21.10
 20:56:00  13/08/2019,5.33,63.17,63.44,1,63.45,55,23.00,-2.94,-28.17,2,77,66,30.00,2.11,78.11,-29.00,33.71,11,8.72,12.17,35.72,55,20.72,9,0.00,1,58.89,60.61,63.17,1,65.00,23.28,18.80,23.11,4,0,0,3837,3836,13.87,98852,0,50011,26570,0,0,-4.00,20,3836,1,1,0,0,0,36.63,3.44,2.39,65.00,0,50,-4.00,29,5.61,2.44,62.89,63.44,-3.00,1,35.52,30.67,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.14,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.11,10.00,36.80,0,21.72,3.61,0,10.00,21.61,0,18.00,0,36.80,3.50,20.00,0,1,0.00,18.22,18.61,11.30,22.28,37.30,3.61,6.90,13.22,12,15.72,4.89,2.40,12,16.22,3.72,35.70,19.50,37.40,1,0.00,20.00,2,4.50,30.20,17.70,-5.50,8.20,4.90,20.70,232.60,234.80,235.00,36.50,22.80,21.10
 20:58:00  13/08/2019,5.33,63.17,63.30,1,67.21,41,21.72,-4.94,-29.28,2,75,66,32.78,3.61,78.39,-29.00,33.71,31,9.17,13.11,35.72,41,20.72,9,0.00,1,59.17,60.61,61.67,1,65.00,21.78,45.70,22.83,4,0,0,3837,3836,13.18,98852,0,50011,26570,0,0,-4.00,31,3836,1,1,0,0,0,36.97,3.89,2.39,65.00,0,43,-4.00,50,6.56,1.56,62.22,68.39,-4.67,1,35.52,28.95,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.14,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.11,10.00,37.10,0,21.72,3.61,0,10.00,21.61,0,18.00,0,37.00,3.50,20.00,0,1,0.00,18.22,18.11,9.30,22.28,37.80,4.00,6.90,13.22,12,15.22,0.22,0.10,12,11.28,4.39,44.60,19.50,38.10,1,0.00,20.00,2,4.50,30.20,17.70,-5.50,8.20,4.90,20.70,232.60,234.80,235.00,36.50,22.80,21.10
 21:00:00  13/08/2019,5.33,66.39,63.22,1,61.76,66,24.28,-4.22,-28.78,2,79,84,32.50,3.61,76.17,-29.00,33.71,31,11.11,13.50,35.39,66,20.72,9,0.00,1,59.72,60.28,61.11,1,65.00,24.33,31.10,22.83,4,0,0,3837,3836,13.44,98852,0,50011,26570,0,0,-4.00,30,3836,1,1,0,0,0,35.35,2.39,2.39,65.00,0,34,-4.00,29,4.17,0.06,66.89,62.44,-4.39,1,35.52,29.57,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.11,10.00,35.42,0,21.28,2.11,0,10.00,21.61,0,19.28,0,35.42,2.11,20.00,0,1,0.00,17.89,19.61,17.20,21.89,36.00,2.22,6.40,12.89,12,14.22,0.22,0.10,12,11.72,2.61,50.60,17.00,36.40,1,0.00,20.00,2,4.50,30.20,17.70,-5.50,8.20,4.90,20.70,232.60,234.80,235.00,36.50,22.80,21.10
 21:02:00  13/08/2019,5.33,64.06,63.12,1,62.61,63,23.22,-3.94,-29.33,2,76,84,31.78,2.39,75.89,-29.00,33.71,31,10.00,11.44,35.39,63,20.72,9,0.00,1,60.56,60.28,59.00,1,65.00,23.28,24.00,22.83,4,0,0,3837,3836,13.29,98852,0,50011,26570,0,0,-4.00,26,3836,1,0,0,0,0,34.73,1.56,2.39,65.00,0,35,-4.00,29,6.22,2.33,64.06,63.17,-3.94,1,35.52,29.81,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.50,10.00,34.83,0,21.00,1.39,0,10.00,21.22,0,19.78,0,34.73,1.39,20.00,0,1,0.00,17.89,20.39,24.50,21.89,35.50,1.61,6.40,12.89,12,11.50,1.11,0.10,12,12.50,2.28,53.50,13.89,36.40,1,0.00,20.00,2,4.50,30.20,17.00,-5.50,8.20,4.90,20.70,232.60,233.70,233.90,35.40,20.80,21.80
 21:04:00  13/08/2019,5.33,64.50,63.00,1,63.56,57,22.28,-3.94,-29.33,2,74,84,31.78,2.00,77.72,-29.00,33.71,31,8.61,10.33,35.39,57,20.44,9,0.00,1,61.50,60.28,54.39,1,65.00,22.33,30.20,22.83,4,0,0,3837,3836,13.19,98852,0,50011,26570,0,0,-4.00,24,3836,1,1,0,0,0,34.90,1.56,2.39,65.00,0,35,-4.00,29,6.89,2.89,64.06,64.12,-3.94,1,35.52,29.71,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.22,10.00,34.93,0,21.00,1.39,0,10.00,21.22,0,19.39,0,34.93,1.39,20.00,0,1,0.00,17.89,20.00,24.50,21.89,35.50,1.61,6.40,12.89,12,11.50,1.11,0.10,12,12.50,2.28,53.50,13.89,36.40,1,0.00,20.00,2,4.50,30.20,17.00,-5.50,8.20,4.90,20.70,232.60,233.70,233.90,35.40,20.80,21.80
 21:06:00  13/08/2019,5.33,64.50,63.00,1,63.56,57,22.28,-3.94,-29.33,2,74,84,31.78,2.00,77.72,-29.00,33.71,31,8.61,10.33,35.39,57,20.44,9,0.00,1,61.50,60.28,54.39,1,65.00,22.33,30.20,22.83,4,0,0,3837,3836,13.19,98852,0,50011,26570,0,0,-4.00,24,3836,1,1,0,0,0,34.90,1.56,2.39,65.00,0,35,-4.00,29,6.89,2.89,64.06,64.12,-3.94,1,35.52,29.71,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.22,10.00,34.93,0,21.00,1.39,0,10.00,21.22,0,19.39,0,34.93,1.39,20.00,0,1,0.00,17.89,20.00,28.50,21.89,35.50,1.89,6.40,12.89,12,13.39,4.50,2.20,12,15.72,2.28,47.00,15.78,36.40,1,0.00,20.00,2,4.50,30.20,17.00,-5.50,8.20,4.90,20.70,232.60,233.70,233.90,35.40,20.80,21.80
 21:08:00  13/08/2019,5.33,64.22,62.93,1,62.63,57,22.28,-3.94,-29.33,2,74,84,31.33,2.00,78.39,-29.00,33.71,31,8.94,10.83,35.39,57,20.44,9,0.00,1,61.06,60.28,49.17,1,65.00,22.33,29.60,22.56,4,0,0,3837,3836,13.27,98852,0,50011,26570,0,0,-4.00,23,3836,1,0,0,0,0,35.08,1.83,2.39,65.00,0,34,-4.00,29,7.17,2.89,64.39,63.29,-3.94,1,35.52,29.61,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.78,10.00,35.12,0,20.72,1.78,0,10.00,20.89,0,19.00,0,35.12,1.78,20.00,0,1,0.00,17.89,19.50,31.00,21.89,35.50,1.89,6.40,12.89,12,15.39,6.50,3.20,12,17.72,2.28,41.80,17.78,36.40,1,0.00,20.00,2,4.50,30.20,17.00,-5.50,8.20,4.90,20.70,232.60,233.70,233.90,35.40,20.80,21.80
 21:10:00  13/08/2019,5.33,63.83,62.84,1,62.89,58,22.28,-4.44,-29.89,2,70,84,31.78,2.00,78.39,-29.00,33.71,31,9.61,10.83,35.39,58,20.44,9,0.00,1,59.39,60.00,47.11,1,65.00,22.33,29.60,22.56,4,0,0,3837,3836,12.97,98852,0,50011,26570,0,0,-4.00,19,3836,1,0,0,0,0,34.61,1.44,2.39,65.00,0,33,-4.00,29,7.17,2.89,64.11,63.45,-4.44,1,35.52,29.39,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.22,10.00,34.63,0,20.72,1.28,0,10.00,20.89,0,19.39,0,34.63,1.28,20.00,0,1,0.00,17.89,19.50,34.70,21.22,35.50,1.61,6.40,12.89,12,16.78,5.61,3.20,12,16.61,1.78,43.80,18.72,35.60,1,0.00,20.00,2,4.50,30.20,17.00,-5.50,8.20,4.90,20.70,232.60,233.70,233.90,35.40,20.80,21.80
 21:12:00  13/08/2019,5.33,63.83,62.73,1,62.84,58,22.28,-4.89,-28.89,2,65,65,30.83,2.00,78.83,-29.00,33.71,31,8.89,10.83,35.39,58,20.44,9,0.00,1,58.06,60.00,46.39,1,65.00,22.33,29.60,22.56,4,0,0,3837,3836,13.57,98852,0,50011,26570,0,0,-4.00,18,3836,1,1,0,0,0,35.04,1.78,2.39,65.00,0,29,-4.00,29,7.17,2.33,64.11,63.45,-4.83,1,35.52,29.02,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.72,10.00,35.12,0,20.72,1.78,0,10.00,20.61,0,18.78,0,35.03,1.72,20.00,0,1,0.00,17.89,18.61,34.00,20.89,36.00,2.22,6.40,12.89,12,16.22,4.39,2.20,12,14.39,2.39,45.70,18.72,36.20,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.80
 21:14:00  13/08/2019,5.33,62.94,62.63,1,62.19,59,22.28,-4.61,-27.78,2,70,66,30.06,2.28,78.33,-29.00,33.71,31,8.28,10.83,43.22,59,20.17,9,0.00,1,57.50,60.00,46.39,1,65.00,22.33,25.80,22.56,4,0,0,3837,3836,13.99,98852,0,50011,26570,0,0,-4.00,19,3836,1,1,0,0,0,35.58,2.33,2.39,65.00,0,27,-4.00,27,6.28,1.61,63.22,62.84,-4.83,1,35.52,29.23,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.11,10.00,35.62,0,20.72,2.28,0,10.00,20.61,0,18.22,0,35.62,2.28,20.00,0,1,0.00,18.39,17.89,31.50,20.89,36.50,2.78,6.40,13.39,12,15.00,4.39,2.20,12,13.22,3.11,48.20,18.22,36.80,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.80
 21:16:00  13/08/2019,5.33,62.94,62.63,1,62.19,59,22.28,-4.61,-27.78,2,70,66,30.06,2.28,78.33,-29.00,33.71,31,8.28,10.83,43.22,59,20.17,9,0.00,1,57.50,60.00,46.39,1,65.00,22.33,25.80,22.56,4,0,0,3837,3836,13.99,98852,0,50011,26570,0,0,-4.00,19,3836,1,1,0,0,0,35.58,2.33,2.39,65.00,0,27,-4.00,27,6.28,1.61,63.22,62.84,-4.83,1,35.52,29.23,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.11,10.00,35.62,0,20.72,2.28,0,10.00,20.61,0,18.22,0,35.62,2.28,20.00,0,1,0.00,18.39,17.89,31.50,20.89,36.50,2.78,6.40,13.39,12,15.00,4.39,2.20,12,13.22,3.11,48.20,18.22,36.80,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.80
 21:18:00  13/08/2019,5.33,62.94,62.50,1,62.93,58,22.00,-4.28,-29.11,2,67,66,31.33,2.28,78.33,-29.00,33.71,31,9.50,10.56,42.67,58,20.17,9,0.00,1,57.11,60.00,45.94,1,65.00,22.06,30.20,22.22,4,0,0,3837,3836,13.36,98852,0,50011,26570,0,0,-4.00,12,3836,1,0,0,0,0,34.09,1.00,2.39,65.00,0,27,-4.00,27,6.28,1.61,62.94,63.44,-4.33,1,35.52,29.51,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.50,10.00,34.14,0,20.28,0.78,0,10.00,20.28,0,19.61,0,34.14,0.72,20.00,0,0,0.00,18.72,19.50,0.00,20.50,34.70,0.89,10.00,20.00,12,13.89,6.22,3.10,12,15.39,1.50,50.10,15.50,35.30,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.80
 21:20:00  13/08/2019,5.33,61.50,62.39,1,61.46,59,22.28,-4.28,-27.28,3,77,66,29.44,2.28,78.33,-29.00,33.71,11,8.50,11.56,40.83,59,20.17,9,0.00,1,56.83,60.00,47.06,1,65.00,22.06,9.90,22.22,4,0,0,3837,3836,14.21,98852,0,50011,26570,0,0,-4.00,17,3836,1,1,0,0,0,36.04,3.00,2.39,65.00,0,27,-4.00,27,6.28,2.22,61.72,61.44,-4.06,1,35.52,29.73,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,17.61,10.00,36.31,0,20.72,3.00,0,10.00,20.28,0,17.50,0,36.21,2.89,20.00,0,0,0.00,18.72,17.61,0.00,20.50,36.70,2.89,10.00,20.00,12,15.22,7.11,3.10,12,16.28,3.11,39.50,18.39,36.80,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.80
 21:22:00  13/08/2019,5.33,61.17,62.29,1,62.35,51,21.17,-3.89,-28.56,2,80,84,31.61,3.11,76.17,-29.00,33.71,11,8.00,12.39,40.28,51,19.89,9,0.00,1,56.22,60.00,47.06,1,65.00,21.28,12.40,22.22,4,0,0,3837,3836,13.63,98852,0,50011,26570,0,0,-4.00,27,3836,1,1,0,0,0,37.50,4.28,2.39,65.00,0,27,-4.00,27,6.28,2.61,60.94,62.35,-4.06,1,35.52,29.84,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,16.39,10.00,37.69,0,20.72,4.50,0,10.00,20.61,0,16.11,0,37.69,4.39,20.00,0,0,0.00,18.72,16.22,0.00,20.50,38.20,4.50,10.00,20.00,1,14.50,2.78,1.40,12,12.11,4.61,40.10,19.22,38.40,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.10
 21:24:00  13/08/2019,5.33,61.17,62.29,1,62.35,51,21.17,-3.89,-29.67,2,80,84,31.61,3.11,76.17,-29.00,33.71,11,8.00,12.39,40.28,46,19.89,9,0.00,1,56.22,60.00,47.06,1,65.00,21.28,12.40,22.22,4,0,0,3837,3836,13.63,98852,0,50011,26570,0,0,-4.00,27,3836,1,1,0,0,0,37.50,4.28,2.39,65.00,0,27,-4.00,29,6.28,2.61,60.94,64.64,-3.72,1,35.52,29.84,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.11,10.00,35.52,0,20.28,2.22,0,10.00,20.61,0,18.28,0,35.42,2.11,20.00,0,0,0.00,18.72,17.89,0.00,20.50,36.10,2.28,10.00,20.00,1,10.72,1.00,0.50,12,11.61,2.72,45.60,13.50,36.50,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.10
 21:26:00  13/08/2019,5.33,61.17,62.29,1,62.35,51,21.17,-3.89,-29.67,2,80,84,31.61,3.11,76.17,-29.00,33.71,11,8.00,12.39,40.28,46,19.89,9,0.00,1,56.22,60.00,47.06,1,65.00,21.28,12.40,22.22,4,0,0,3837,3836,13.63,98852,0,50011,26570,0,0,-4.00,27,3836,1,1,0,0,0,37.50,4.28,2.39,65.00,0,27,-4.00,29,6.28,2.61,60.94,64.64,-3.72,1,35.52,29.84,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,18.11,10.00,35.52,0,20.28,2.22,0,10.00,20.61,0,18.28,0,35.42,2.11,20.00,0,0,0.00,18.72,17.89,0.00,20.50,36.10,2.28,10.00,20.00,1,10.72,1.00,0.50,12,11.61,2.72,45.60,13.50,36.50,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.10
 21:28:00  13/08/2019,5.33,63.72,62.12,1,61.67,60,22.83,-4.17,-30.28,2,72,84,32.61,2.28,77.56,-29.00,33.71,31,11.00,11.83,40.00,60,19.89,9,0.00,1,56.22,59.72,54.00,1,65.00,22.83,30.80,21.94,4,0,0,3837,3836,12.86,98852,0,50011,26570,0,0,-4.00,19,3836,1,1,0,0,0,33.96,0.83,2.39,65.00,0,27,-4.00,27,7.11,2.94,63.78,62.24,-4.17,1,35.52,29.61,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,19.11,10.00,34.04,0,19.72,0.61,0,10.00,20.11,0,19.39,0,33.94,0.61,20.00,0,0,0.00,18.72,19.00,0.00,19.89,34.60,0.78,10.00,20.00,1,14.61,3.89,1.90,12,14.00,1.28,51.00,16.00,35.10,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.10
 21:30:00  13/08/2019,5.33,62.89,62.01,1,59.10,57,22.00,-4.61,-29.22,2,66,66,30.78,1.56,79.50,-29.00,33.71,11,8.83,11.50,39.72,57,19.89,9,0.00,1,55.67,59.72,58.89,1,65.00,22.06,6.80,21.94,4,0,0,3837,3836,13.37,98852,0,50011,26570,0,0,-4.00,17,3836,1,0,0,0,0,35.93,2.67,2.39,65.00,0,25,-4.00,25,6.56,1.78,63.28,59.05,-4.61,1,35.52,29.24,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.28,33.10,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,17.00,10.00,36.11,0,19.72,2.78,0,10.00,20.11,0,17.11,0,36.11,2.78,20.00,0,0,0.00,18.72,17.22,0.00,19.89,36.60,2.78,10.00,20.00,1,14.61,6.78,3.40,12,16.72,3.00,41.00,17.50,36.70,1,0.00,20.00,2,4.50,30.20,17.80,-5.50,8.20,4.90,17.50,231.90,233.70,233.90,36.30,22.60,21.10
