time;suction_mt;rc_mt_comp1;tamb;mt_comp1;mt_comp2;mt_comp3;mt_comp4;mt_pwr_tot;suction_lt;rc_lt_comp1;lt_comp1;lt_comp2;lt_comp3;lt_pwr_tot
01 01 2019 07:25:00;-17.4;20;3.5;Active;Inactive;Inactive;Inactive;22.8;-34.4;15;Active;Inactive;Active;16.8
01 01 2019 07:30:00;-15.5;29;3.4;Active;Inactive;Inactive;Active;25.2;-31.4;82;Active;Inactive;Inactive;18
01 01 2019 07:35:00;-10.8;51;3.4;Active;Inactive;Inactive;Active;27.6;-33.3;38;Active;Inactive;Active;18
01 01 2019 07:40:00;-15;40;3.4;Active;Inactive;Inactive;Active;31.2;-32.7;63;Active;Inactive;Inactive;16.8
01 01 2019 07:45:00;-16.2;30;3.4;Active;Inactive;Inactive;Inactive;22.8;-33.5;35;Active;Inactive;Inactive;16.8
01 01 2019 07:50:00;-14.9;40;3.4;Active;Inactive;Inactive;Active;28.8;-34.1;23;Active;Inactive;Active;19.2
01 01 2019 07:55:00;-12.9;85;3.3;Active;Inactive;Inactive;Inactive;30;-31.8;80;Active;Inactive;Inactive;16.8
01 01 2019 08:00:00;-14.6;48;3.3;Active;Inactive;Inactive;Active;27.6;-31.3;93;Active;Inactive;Inactive;16.8
01 01 2019 08:05:00;-14.4;51;3.1;Active;Inactive;Inactive;Inactive;25.2;-30.5;100;Active;Inactive;Inactive;19.2
01 01 2019 08:10:00;-13.3;70;3.1;Active;Inactive;Inactive;Inactive;26.4;-31.4;86;Active;Inactive;Inactive;13.2
01 01 2019 08:15:00;-12.3;89;3.1;Active;Inactive;Inactive;Inactive;24;-31.6;96;Active;Inactive;Inactive;18
01 01 2019 08:20:00;-16.5;11;3.1;Active;Active;Inactive;Inactive;28.8;-33.2;51;Active;Inactive;Active;18
01 01 2019 08:25:00;-13.9;64;3.2;Active;Inactive;Inactive;Inactive;22.8;-31.5;0;Inactive;Inactive;Inactive;15.6
01 01 2019 08:30:00;-13.1;79;3.5;Active;Inactive;Inactive;Inactive;26.4;-33.5;34;Active;Inactive;Inactive;19.2
01 01 2019 08:35:00;-14.8;40;3.7;Active;Active;Inactive;Inactive;25.2;-34.1;26;Active;Inactive;Inactive;16.8
01 01 2019 08:40:00;-14.6;44;4.1;Active;Inactive;Inactive;Inactive;24;-31.3;83;Active;Inactive;Inactive;19.2
01 01 2019 08:45:00;-12.3;88;4.5;Active;Inactive;Inactive;Inactive;30;-31.9;70;Active;Inactive;Inactive;19.2
01 01 2019 08:50:00;-14.6;44;4.8;Active;Inactive;Inactive;Inactive;25.2;-34;26;Active;Inactive;Active;18
01 01 2019 08:55:00;-15;43;5.3;Active;Inactive;Inactive;Inactive;19.2;-33.4;35;Active;Inactive;Inactive;13.2
